question,answer
What is the First Amendment?,"<p>The first 10 Amendments to the U.S. Constitution are known as the Bill of Rights, which were created to ensure the protection of certain individual liberties. The First Amendment states:</p><p><em>“Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the government for a redress of grievances.”</em></p><p>While the language of the First Amendment refers only to “Congress,” the First Amendment – as well as most of the other Amendments that make up the Bill of Rights – applies to government entities in general by way of the <a href=""https://www.archives.gov/founding-docs/amendments-11-27"">Fourteenth Amendment</a> to the Constitution. This includes federal, state and local government officials, and extends to public schools and institutions including UC Santa Cruz.</p>"
What is free speech?,"<p>Free speech is any form of speech—including nonverbal and silent protest as well as symbolic speech—that is legally protected by the First Amendment. This often includes speech that we find offensive or morally questionable. Justice William Brennan wrote in the Supreme Court’s decision in Texas v. Johnson (1989):</p>
<p>“If there is a bedrock principle underlying the First Amendment, it is that government may not prohibit the expression of an idea simply because it finds it offensive or disagreeable.”</p>
"
Is hate speech protected speech?,"<p>Yes. There is no legal definition of hate speech. Some people mistakenly believe that it is unlawful to say things that offend or insult groups based on race, color, religion, national origin, sexual orientation, disability or other traits. This is incorrect. Although it may be difficult to understand or accept, hate speech is protected under the First Amendment. Because the goal of the Bill of Rights was to protect individual liberty, the First Amendment does not distinguish between hateful and non-hateful speech or otherwise allow the government to make moral judgments about the content of speech.</p> 
<p>It is important to note that the First Amendment does not protect conduct or actions just because they are motivated by an individual’s beliefs or opinions. Therefore, even though hate speech is protected by the First Amendment, ""hate crimes"" may be regulated by law.</p>
<p>In addition, the First Amendment does not protect true threats (statements where the speaker means to communicate a serious expression of an intent to commit an act of unlawful violence to a particular individual or group of individuals).</p>"
What types of speech are not protected by the First Amendment?,"<p>Speech that is not protected by the First Amendment includes fighting words, incitement of illegal activity, true threats and harassment. However, historically, the Supreme Court has held a very narrow definition of these terms, limiting the authority of the government and public officials to prohibit or prosecute speech, even if it appears to fall into one of these categories.</p>

<ul>
  <li><strong>Obscenity</strong> — Speech/materials may be deemed obscene (and therefore unprotected) if the speech meets the following (extremely high) threshold: It (1) appeals to the ""prurient"" interest in sex, (2) is patently offensive by community standards, and (3) lacks literary, scientific, or artistic value.</li>
  <li><strong>Incitement</strong> — Activity or speech that advocates for producing 'imminent lawless action' and is likely to produce such action.</li>
  <li><strong>Fighting words</strong> — Speech that is personally/individually abusive and is likely to incite imminent physical retaliation.</li>
  <li><strong>Defamation</strong> — An intentional and false statement about an individual that is publicly communicated in written (called ""libel"") or spoken (called ""slander"") form, causing injury to the individual.</li>
  <li><strong>Perjury</strong> — A knowingly false statement given under oath in court.</li>
  <li><strong>Extortion</strong> — Obtaining property by wrongful use of force or fear.</li>
  <li><strong>Harassment</strong> — Conduct based on a protected category that is so severe, pervasive, and objectively offensive, and that so undermines and detracts from the victims' educational experience, that the victims are effectively denied equal access to an institution's resources and opportunities. Davis v. Monroe County Board of Education (1999).</li>
  <li><strong>True threats</strong> — Statements where the speaker means to communicate a serious expression of an intent to commit an act of unlawful violence to a particular individual or group of individuals. The speaker does not have to act on his or her words (e.g., commit a violent act) in order to be found guilty of true threat.</li>
  <li><strong>False advertising</strong> — A knowingly untruthful or misleading statement about a product or service.</li>
  <li><strong>Certain symbolic actions</strong>, if the actions are otherwise illegal.</li>
  <ul><li>Examples: Tagging/graffiti, littering, burning a cross on private property.</li></ul>
  <li><strong>Plagiarism of copyrighted material</strong></li>
  <li><strong>Child pornography</strong></li>
</ul>"
"Are nonverbal symbols, like swastikas or burning flags, constitutionally protected?","<p>It depends. The Supreme Court ruled in <a href=""http://www.firstamendmentcenter.org/fighting-words/"">Texas v. Johnson</a> (1989) that burning the American flag was protected speech. In <a href=""http://judiciallearningcenter.org/your-1st-amendment-rights/"">Tinker v. Des Moines Independent Community School District</a> (1969), they ruled that wearing black armbands to protest the Vietnam War was protected speech. However, the First Amendment does not protect the use of nonverbal symbols to directly threaten an individual or encroach upon or destroy private property. Examples might include hanging a noose over a dorm room or spray painting swastikas on the library wall.</p>"
Is speech on the Internet entitled to the same level of protection as speech in print and other media?,"<p>Yes. In the case <a href=""https://www.oyez.org/cases/1996/96-511"">Reno v. ACLU</a> (1997), the Supreme Court rejected the government’s argument that speech on the Internet could be more carefully regulated as it is with radio and television broadcasting, and concluded that the Internet should be given the full protection of the First Amendment as it is with print media.</p>"
When does speech become unlawful harassment?,"<p>The precise legal standards for unlawful harassment vary depending on who the harasser and who the victim of the harasser are. In general, harassment refers to a severe or pervasive course of conduct directed at an individual that causes that person substantial emotional distress. Whether the conduct constitutes harassment depends on a number of factors, including how it occurs, the frequency of its occurrence, and the extent to which it is targeted at a specific individual. For example, an offensive description of a student in a publicly accessible publication or website, (e.g., social media) may not rise to the level of harassment because it occurs in a public domain and the student may choose to avoid those publications or websites. In contrast, if an individual is the target of repeated harassing phone calls or email messages, such action may give rise to a valid claim of harassment.</p>
<p>Students, faculty or staff who feel that they may have been subjected to harassment are encouraged to reach out to the <a href=""http://equity.ucsc.edu"">Office of Equity and Equal Protection</a>.</p>"
"As a public university, what laws govern UC Santa Cruz’s position on free speech?","<p>As a public university, UC Santa Cruz is obligated to uphold the First Amendment. Our campus is home to diverse organizations, faculty, staff and students, each with a wide range of interests and viewpoints. Although the views expressed by a particular group or at a particular event may not reflect the views of UC Santa Cruz, all campus community members have the right to express those views, at appropriate times, in appropriate places and in appropriate manners. UC Santa Cruz is not permitted to silence speech merely because the speech is offensive to many or even most of the UC Santa Cruz community. Students, faculty, and staff are all entitled to exercise their own rights to free speech to condemn or criticize offensive speech, for example, by holding protests, teach-ins or counter-demonstrations as long as they are conducted in a lawful manner. </p>"
Are private universities obligated to comply with the First Amendment?,"<p>No. Public colleges and universities are considered “state actors”—in other words, they act on behalf of the government. This means they are legally required to uphold the constitutional rights of their students. Private institutions—even ones that receive substantial government funding—are not directly bound by the First Amendment. Regulation of speech at private universities, however, may be governed by university policies, contracts with students or state statutes.</p>"
How does UC Santa Cruz respond to hate speech?,"<p>UC Santa Cruz is dedicated to fostering a campus climate that is diverse and inclusive and vigorously opposes and deplores all forms of hate-fueled speech. UC Santa Cruz  offers support for faculty, staff and students who wish to use their private free speech rights to condemn hateful speech. Students who encounter hurtful or offensive speech are encouraged to <a href=""https://reporthate.ucsc.edu/"">report it online</a> and reach out to university administrators including the <a href=""https://diversity.ucsc.edu/about/staff.php"">Associate Vice Chancellor for Diversity, Equity and Inclusion</a> and the <a href=""http://equity.ucsc.edu"">Office of Equity and Equal Protection</a>. </p>"
Does the First Amendment protect civil disobedience on campus?,"<p>No. The First Amendment protects freedom of speech and expression, but does not protect engagement in civil disobedience which, by definition, involves the violation of laws or regulations. So if, for example, student protesters take over a campus building, or disrupt classes or events, their actions may be subject to punishment, not only under the UC Santa Cruz Code of Student Conduct, but also in criminal court—if the conduct constitutes a crime. Civil disobedience has historically played a significant role in various social movements, but students should be aware that participation in civil disobedience, whether occurring on- or off-campus, could potentially result in serious criminal or conduct charges.</p>"
"Beyond its legal obligations, does UC Santa Cruz believe that offensive speech should be allowed on campus?","<p>Yes. Although it may be upsetting to hear certain kinds of speech, UC Santa Cruz does not believe such speech should be restricted. Instead, we concur with Justice Louis Brandeis, who said the remedy to hateful speech was “more speech, not enforced silence.” When we are confronted with speech that is morally repugnant, we should engage and debate it, rather than stifle it.
</p>

<p>Part of UCSC’s mission is the search for knowledge, which cannot be accomplished without the foundation of free speech and academic freedom. It is important to remember that many ideas we believe in — including climate change, evolution, and equal rights for women and minorities — were once considered offensive.</p>"
What is academic freedom?,"<p>The University of California has a system-wide mission committed to the discovery of knowledge and dissemination of that knowledge to students and society at large. As such, it supports the principles of academic freedom, which protect “freedom of inquiry and research, freedom of teaching, and freedom of expression and publication.” View <a href=""http://www.ucop.edu/academic-personnel-programs/_files/apm/apm-010.pdf"">UCOP’s full policy</a>. This means that faculty should have the freedom to teach, learn, study, and otherwise pursue knowledge without fear of undue interference or reprisal from the government, educational institution, or public. The justification of academic freedom is that it not only benefits the faculty and students, but also society in general, as the advancement of knowledge is best served when academic inquiry is free from restraint.</p>"
Can university officials or the student government censor a student organization publication if the university or student government funds it?,"<p>It depends how the publication was established. If the publication is published by the university or the student government, then, yes, as the publisher, the university or the student government has a right to exercise editorial control over the publication. If the publication is published by students or a student organization, however, the university and the student government may not censor its content based on the viewpoints expressed in the publication. Among the actions the courts have prohibited are confiscating copies of publications, requiring prior review of content, removing objectionable material, limiting circulation, suspending editors, and withdrawing or reducing financial support to an individual publication. Student editors have the right to edit or refuse to publish an article or piece in their own publications. Similarly, the UC Santa Cruz Student Union Assembly (the undergraduate student government) and student media produce their own publications and manage their own television station and radio station, and its editors and station managers may edit or refuse to publish or broadcast a piece or project.</p>"
"What are “time, place, and manner” restrictions? How do they relate to controversial speakers?","<p>Although public entities like UC Santa Cruz cannot censor speech or prohibit speakers from coming to campus, public universities may establish rules regarding the time, place and manner in which speakers can share their messages. Examples of allowable restrictions might be preventing speakers from interrupting classes or lectures; moving a speaker to another venue; or prohibiting the use of amplified sound in certain locations or at certain times. Wherever such restrictions exist, they must be content-neutral, serve a government interest (such as public safety or the continuation of classes), be narrow in scope and provide ample alternatives for expression. </p>"
What if a speaker coming to campus is known for hate speech?,"<p>UC Santa Cruz cannot block a person or group that has been invited to speak on campus simply because the administration or campus community members disagree with the speaker’s ideologies. While people are free to protest or criticize the speaker, they are not free to prevent the speaker from speaking. The goal of UCSC is to foster an educational environment that promotes dialogue that contributes to and enriches the diversity of opinions. </p>"
What about the argument that restrictions on speech are an effective way to combat bigotry on campus?,"<p>Even if bigoted speech were stifled, it would not mean bigoted beliefs would be quelled. Knowing what people are really thinking by having them speak their views freely facilitates open argument and dialogue that leads to changing minds and behaviors. Confronting, hearing and countering offensive speech is an important skill. If we shut down speakers who espoused bigoted views, our students would never have the opportunity to confront those views themselves. </p>"
Can I use my own freedom of speech to shout down a speaker’s whose message I oppose?,"<p>No, freedom of speech does not give you permission to silence the speech of others by shouting, heckling or otherwise interrupting a speech to the point that the speaker cannot continue or that the audience can no longer hear. If you were allowed to shout down speech you disagreed with, and someone else shouted down your speech if they disagreed, then open and free debate would be impossible. Intentionally disrupting a speaker could expose a student to sanctions under the Code of Student Conduct.</p>"
How do campuses ensure the safety of students and staff in light of freedom of speech?,"<p>University of California campuses pair a commitment to free speech with a commitment to safety. People who threaten or commit acts of violence are subject to arrest and prosecution by law enforcement, as well as discipline imposed by the University.</p>"
What are UC Santa Cruz’s Principles of Community? How do they relate to free speech?,"<p>Our Principles of Community were developed collaboratively by many members of the UC Santa Cruz community, including students, faculty and staff. UCSC is committed to promoting and protecting an environment that values and supports every person in an atmosphere of civility, honesty, cooperation, professionalism and fairness.
</p>
<p>While the Principles of Community serve as guidelines for how UC Santa Cruz community members should treat one another, they are not meant to create a means by which students, non-affiliates or off-duty employees can be sanctioned for violation. In other words, even though speech may run afoul of the Principles of Community, the speaker cannot be punished for violating the Principles of Community.
</p>
<p>Student groups have the right to invite speakers of any belief to campus, but we encourage these groups to consider that such rights also come with a moral obligation to consider the consequences of their words, actions, events and invitations. We ask that groups view all actions and outcomes through the lens of our Principles of Community to determine whether it is consistent with our community’s values as well as their own.</p>"
"If someone is holding an event on campus, can I protest it?","<p>Yes. The right to protest is protected by the First Amendment. We believe that peaceful protest is an effective way to counter speech or beliefs to which you are opposed. However, protests must be carried out in a way that does not infringe on anyone else’s rights, including the speaker’s. Keep in mind:
</p>

<ol style=""list-style-type: lower-roman;"">
  <li>You are not allowed to block or prevent the movement or access of others.</li>
  <li>It is illegal to disobey a lawful order by a police officer. Such an order might include staying behind a barricade; dispersing from certain areas; or stopping certain activities.</li>
  <li>You should leave an area where others are engaging in illegal activities or acts of violence. Even if you are not participating in the illegal activities, your presence may be interpreted as such.</li>
  <li>Refrain from speech that incites others to illegal activity or violent acts. This kind of speech is not protected by the First Amendment.</li>
</ol>"
Are there regulations pertaining to the speech and expressive conduct of non-University affiliates while on campus at UC Santa Cruz?,"<p>Yes. The conduct of persons who are on campus but are not otherwise affiliated with UC Santa Cruz is governed by University of California regulations. See the <a href=""http://policy.ucop.edu/doc/3000127/NonAffiliateRegs"">University of California policy</a> on this topic for more information.</p>"
"If my student organization hosts an on-campus event, can others video- or audio-record the event or the participants?","<p>It depends. If the event occurs at a public location on campus where access cannot be limited except as specified by UC Santa Cruz policy, then the event and its participants may be video- and audio- recorded.
</p>
<p>If on the other hand the event occurs at a location where access can be controlled or limited (such as a meeting room or recital hall), then the student organization may establish reasonable rules for how audience members conduct themselves and what audience members may bring to the event venue (such as cameras, microphones, and/or other video and audio equipment) so long as the rules are posted at all entrances, are clearly visible and are equally applied to all audience members. Student organizations interested in establishing reasonable restrictions (e.g., no leafleting, no videotaping) at their events should contact their <a href=""http://soar.ucsc.edu/v2/"">advisor in SOAR</a> for further information on how to implement these rules.</p>"
