question,answer,content-marking
What does the First Amendment protect?,"<ul>
  <li>Generally, the First Amendment to the U.S. Constitution protects all speech, although the following forms of speech enjoy varying degrees of lesser protection:
    <ul>
      <li>Obscenity (e.g., child pornography).</li>
      <li>Defamation/libel.</li>
      <li>Involving illegal conduct. Examples:
        <ul>
          <li>Criminal threat: Any person who willfully threatens to commit a crime which will result in death or great bodily injury to another person, with the specific intent that the statement is to be taken as a threat, even if there is no intent of actually carrying it out. The threat must be, on its face and under the circumstances in which it is made, so unequivocal, unconditional, immediate, and specific as to cause the person threatened to reasonably fear for his or her own safety or for his or her immediate family’s safety.</li>
          <li>Obstruction of a police officer.</li>
          <li>Fighting or challenging another to fight in a public place.</li>
          <li>Use of offensive words in a public place which are inherently likely to provoke an immediate violent reaction (e.g., “fighting words”).</li>
          <li>Inciting illegal activity.</li>
          <li>Willful disturbance of any lawful meeting (must “substantially impair” the meeting by intentional conduct in violation of implicit or explicit rules for the meeting that violator knew or should have known).</li>
          <li>Unlawful assembly and refusal to disperse.</li>
          <li>Vandalism and defacing property of another.</li>
          <li>Disturbance by loud and unreasonable noise.</li>
          <li>Trespass.</li>
        </ul>
      </li>
    </ul>
  </li>
</ul>",1
Does the First Amendment protect civil disobedience on campus?,"<p>Protests and civil disobedience have played an historic role on university campuses, in bringing important and beneficial changes within society, and in the development of our democracy. However, civil disobedience is not protected speech under the Constitution. The Constitution does not guarantee any right to engage in civil disobedience—which, by its very definition, involves the violation of laws or regulations—without incurring consequences. Civil disobedience may have a negative effect on the protected interests of others and may interfere with University business or threaten public safety or University assets, in ways that require the University to act to protect those other interests.</p>",2
How do the UC Santa Cruz Principles of Community relate to the First Amendment?,"<p>The <a href=""https://www.ucsc.edu/about/principles-community.html"">Principles of Community</a> were adopted as part of UC Santa Cruz’s commitment to promoting and protecting an environment that values and supports every person in an atmosphere of civility, honesty, cooperation, professionalism and fairness. While the Principles of Community serve as aspirational goals for how our community members should treat one another, they are not rules, laws or policies. In other words, even though speech may go against our Principles of Community, the speaker cannot be punished for such a violation.</p>",3
"What is hate speech, and is it illegal?","<p>The term “hate speech” is not defined by law, and no such category exists as an exception to the First Amendment. Thus, even if speech is hateful or offensive, it is still protected by the First Amendment.</p><p>Legal scholars have supported the idea that the best way to respond to hateful or offensive speech is not to attempt to limit it but instead to encourage more speech. For example, as Justice Louis Brandeis famously wrote, “[i]f there be time to expose through discussion the falsehood and fallacies, to avert the evil by the processes of education, the remedy to be applied is more speech, not enforced silence.” Whitney v. California, 274 U.S. 357, 377 (1927).</p><p>Likewise, the American Civil Liberties Union believes that:</p><p>“where racist, sexist, and homophobic speech is concerned, the <a href=""http://www.aclu.org/free-speech/hate-speech-campus"">ACLU believes that more speech—not less—is the best revenge</a>. This is particularly true at universities, where the mission is to facilitate learning through open debate and study, and to enlighten.”</p><p>It is important to note that while hate speech is in itself not a category excepted by the First Amendment, the First Amendment does not protect conduct just because it is motivated by an individual’s beliefs or opinions. Thus, hate crimes may be regulated by law and are not subject to protection by the First Amendment.</p><p>UC Santa Cruz offers tools and mechanisms to address words or actions that impact campus climate or violate the Principles of Community and/or other university policies. Students who encounter hurtful or offensive speech are encouraged to reach out for support</p><p>» <a href=""https://reporthate.ucsc.edu"">Learn more about responding to hateful speech or acts</a>.</p>",4
What is academic freedom?,"<p>The principles of academic freedom protect freedom of inquiry and research, freedom of teaching and freedom of expression and publication. These freedoms enable the university to advance knowledge and to transmit it effectively to its students and to the public. The university also seeks to foster in its students a mature independence of mind, and this purpose cannot be achieved unless students and faculty are free within the classroom to express the widest range of viewpoints in accord with the standards of scholarly inquiry and professional ethics.</p><p>» <a href=""https://senate.ucsc.edu/committees/caf-committee-on-academic-freedom/index.html"">Learn more about Academic Freedom.</a></p>",5
When does speech become harassment?,"<p>Harassment is defined by policy as verbal or physical conduct that unreasonably interferes with a person’s work or education, or creates a hostile or offensive working or educational environment, when that conduct is based on race, color, national origin, religion, sex, gender, gender expression, gender identity, pregnancy, physical or mental disability, medical condition (including cancer-related or genetic characteristics), genetic information (including family medical history), ancestry, marital status, age, sexual orientation, citizenship, or service in the uniformed services.</p><p>» <a href=""https://equity.ucsc.edu/"">Learn more about the university’s policy on harassment.</a></p>",6
Is speech on the internet and social media entitled to the same level of protection as speech in print and other media?,"<p>Yes. In the case Reno v. ACLU, the Supreme Court rejected the government’s argument that speech on the internet could be more carefully regulated as it is with radio and television broadcasting and concluded that the internet, as with print media, should be given the full protection of the First Amendment. Reno v. ACLU, 521 U.S. 844 (1997).</p>",7
Are chalking and posting permitted on campus?,"<p>Student organizations registered with the Student Organization Advising & Resources (SOAR) are not permitted to chalk on campus.</p><p>Posting is allowed under regulations that are intended to prevent interference with the free flow of persons and traffic and with the regular activities of the University.</p><p>» <a href=""https://crown.ucsc.edu/activities/flier_posting_numbers.pdf"">Learn more about campus posting guidelines.</a></p>",8
Are people allowed to take photographs or videos of students who are protesting?,"<p>If someone is conducting a protest in a public place, there are no policies that prevent people from photographing or video recording them.</p>",9
"Laws, Policies and The Principles of Community Laws and Policies","<ul>
  <li>Learn more about the <a href=""https://freespeech.ucsc.edu/learn/laws-policies.html"">related laws and policies</a></li>
</ul>",10
Principles of Community,"<ul>
  <li><a href=""https://freespeech.ucsc.edu/learn/principles-community-first-amendment.html"">Learn more about the Principles of Community and the First Amendment</a></li>
  <li><a href=""https://regents.universityofcalifornia.edu/regmeet/mar16/e1attach.pdf"">Learn more about the UC Principles Against Intolerance</a></li>
</ul>",11
